epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.623,1.60534,3.37606,1.53969,1,0.15168,0.77377,0.45034,1.38139,3.78963,1.30127,0.000409836,0.000409836,0.000409836
2,561.819,1.42098,2.05406,1.32513,0.79101,0.82647,0.88341,0.52928,1.40688,2.68172,1.3481,0.000810138,0.000810138,0.000810138
3,863.432,1.42749,1.76198,1.33501,0.82505,0.90992,0.94248,0.57265,1.33258,2.04601,1.29724,0.00119394,0.00119394,0.00119394
4,1174.85,1.40494,1.56701,1.3116,0.78313,0.72833,0.8203,0.46083,1.52877,2.02364,1.48633,0.00117575,0.00117575,0.00117575
5,1489.18,1.35405,1.35408,1.3091,0.81459,0.89292,0.92528,0.54961,1.37756,1.62041,1.38852,0.001151,0.001151,0.001151
6,15535.6,1.3292,1.18636,1.29396,0.92515,0.89047,0.96223,0.58233,1.38055,1.24747,1.38245,0.00112625,0.00112625,0.00112625
7,18825,1.31221,1.10156,1.28594,0.93214,0.94005,0.96555,0.59419,1.28922,1.17747,1.37823,0.0011015,0.0011015,0.0011015
8,19076.7,1.27616,1.02383,1.24897,0.88724,0.90124,0.94396,0.59131,1.33857,1.32216,1.37132,0.00107675,0.00107675,0.00107675
9,19618.7,1.26051,0.93523,1.25077,0.95483,0.94887,0.9741,0.62568,1.28738,0.99862,1.27895,0.001052,0.001052,0.001052
10,19878.3,1.2513,0.88444,1.24087,0.91565,0.95993,0.95779,0.61413,1.28229,0.90859,1.29655,0.00102725,0.00102725,0.00102725
11,20164.7,1.23237,0.88103,1.22513,0.95434,0.96762,0.9756,0.61865,1.33555,0.87691,1.29661,0.0010025,0.0010025,0.0010025
12,20452.2,1.20765,0.82019,1.22409,0.94847,0.9539,0.9826,0.63616,1.27635,0.78781,1.34154,0.00097775,0.00097775,0.00097775
13,20738.2,1.22339,0.80019,1.23068,0.96157,0.97518,0.97969,0.64897,1.22786,0.74491,1.26194,0.000953,0.000953,0.000953
14,21018,1.23056,0.76042,1.22572,0.95308,0.98065,0.98537,0.65051,1.24556,0.66389,1.31449,0.00092825,0.00092825,0.00092825
15,21313.5,1.1753,0.84198,1.21564,0.95815,0.9751,0.98795,0.65114,1.21308,0.70323,1.29597,0.0009035,0.0009035,0.0009035
16,21598.1,1.18825,0.74071,1.21527,0.96814,0.91529,0.97089,0.6567,1.16085,0.71499,1.23927,0.00087875,0.00087875,0.00087875
17,22837.8,1.18985,0.70451,1.2041,0.97645,0.97639,0.98873,0.66054,1.21283,0.66064,1.26499,0.000854,0.000854,0.000854
18,23136.7,1.13507,0.68887,1.18064,0.98671,0.99002,0.99202,0.67186,1.19726,0.62294,1.30074,0.00082925,0.00082925,0.00082925
19,23376.5,1.17541,0.71767,1.20598,0.98072,0.96743,0.97443,0.66369,1.16575,0.63311,1.25639,0.0008045,0.0008045,0.0008045
20,23630.7,1.10698,0.67704,1.17199,0.96279,0.98846,0.98954,0.67677,1.16279,0.62103,1.24247,0.00077975,0.00077975,0.00077975
21,23882.5,1.12497,0.67757,1.17222,0.98201,0.99249,0.99122,0.6687,1.23589,0.59538,1.28097,0.000755,0.000755,0.000755
22,24128.2,1.11446,0.64696,1.18976,0.96782,0.99799,0.99286,0.67612,1.14605,0.57897,1.26338,0.00073025,0.00073025,0.00073025
23,24385.3,1.10071,0.63258,1.17244,0.97695,0.99107,0.99172,0.68228,1.15207,0.58898,1.231,0.0007055,0.0007055,0.0007055
24,24651.3,1.08505,0.61672,1.16605,0.96674,0.98689,0.99071,0.67769,1.17574,0.57495,1.27589,0.00068075,0.00068075,0.00068075
25,24907.1,1.07888,0.63739,1.17294,0.95989,0.97319,0.98674,0.67923,1.14927,0.57026,1.29361,0.000656,0.000656,0.000656
